caseId,dateDecision,decisionType,usCite,sctCite,term,naturalCourt,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
2019-026,4/20/20,1,,140 S. Ct. 1367,2019,1707,18-916,"THRYV v. CLICK-TO-CALL TECHNOLOGIES, LP",12/9/19,,172,,133,,1,0,8,,8,,0,11,8,1,1,5,0,1,0,0,80180,8,2,0,4,,6,600,35 U.S.C. 315,109,111,1,7,2
2019-027,3/23/20,1,,140 S. Ct. 1062,2019,1707,18-776,GUERRERO-LASPRILLA v. BARR,12/9/19,,106,,327,,1,0,25,,25,,0,11,9,1,1,5,0,1,0,0,20110,2,2,0,4,,3,344,NA,110,111,1,7,2
2019-029,4/27/20,1,,140 S. Ct. 1308,2019,1707,18-1023,MAINE COMMUNITY HEALTH OPTIONS v. UNITED STATES,12/10/19,,171,,27,,1,0,3,,8,,1,12,2,2,1,4,0,1,0,0,80060,8,1,0,4,,6,600,"Affordable Care Act, 42 U.S.C. 18063",113,111,1,8,1
2019-030,2/25/20,1,,140 S. Ct. 719,2019,1707,18-935,MONASKY v. TAGLIERI,12/11/19,,188,,153,,1,0,103,,26,,1,3,2,3,1,2,0,0,0,0,20170,2,3,,4,,5,509,NA,109,111,1,9,0
2019-032,5/18/20,1,,140 S. Ct. 1601,2019,1707,17-1268,OPATI v. REPUBLIC OF SUDAN,2/24/20,,208,,24,,1,0,55,,32,,0,11,2,1,1,5,0,1,0,0,80060,8,2,,4,,6,600,Foreign Sovereign Immunities Act,115,111,1,8,0
2019-033,6/1/20,1,,140 S. Ct. 1615,2019,1707,17-1712,"THOLE v. U.S. BANK, N.A.",1/13/20,,173,,113,,1,0,83,,28,,0,12,2,1,1,2,0,0,0,0,80090,8,1,0,1,,1,139,NA,116,111,1,5,4
2019-034,4/6/20,1,,140 S. Ct. 1168,2019,1707,18-882,BABB v. WILKIE,1/15/20,,145,,414,,1,0,56,,31,,0,2,2,1,1,4,0,1,0,0,20060,2,2,0,4,,3,302,NA,112,111,1,8,1
2019-035,6/1/20,1,,140 S. Ct. 1637,2019,1707,18-1048,GE ENERGY POWER CONVERSION FRANCE SAS v. OUTOKUMPU STAINLESS USA LLC,1/21/20,,147,,184,,1,0,43,,31,,0,2,3,2,1,4,0,1,0,0,80160,8,1,,4,,3,388,NA,108,111,1,9,0
2019-037,5/14/20,1,,140 S. Ct. 1589,2019,1707,18-1086,LUCKY BRAND DUNGAREES INC. v. MARCEL FASHION GROUP INC.,1/13/20,,184,,184,,1,0,96,,22,,0,2,5,1,1,4,0,1,0,0,80200,8,2,,3,,5,506,NA,113,111,1,9,0
2019-039,4/23/20,1,,140 S. Ct. 1492,2019,1707,18-1233,ROMAG FASTENERS INC. v. FOSSIL INC.,1/14/20,,172,,184,,1,0,53,,8,,0,2,2,2,1,5,0,1,0,0,80200,8,1,,4,,6,600,"Lanham Act, 15 U.S.C. 1117",115,111,1,9,0
2019-040,6/29/20,7,,140 S. Ct. 2103,2019,1707,18-1323,JUNE MEDICAL SERVICES LLC v. RUSSO,3/4/20,,165,,7,22,1,0,76,,25,,1,12,3,1,3,3,0,1,0,0,50020,5,2,0,2,,2,230,NA,110,111,1,5,4
2019-041,6/15/20,1,,140 S. Ct. 1837,2019,1707,18-1584,U.S. FOREST SERVICE v. COWPASTURE RIVER PRESERVATION ASSOCIATION,2/24/20,,410,,150,,1,0,24,,24,,0,12,8,2,1,4,0,1,0,0,80130,8,1,0,4,,6,600,"Mineral Leasing Act, 30 U.S.C. 181",108,111,1,7,2
2019-048,7/9/20,1,,140 S. Ct. 2452,2019,1707,18-9526,MCGIRT v. OKLAHOMA,5/11/20,,170,,28,42,1,0,302,42,300,42,0,5,2,1,1,3,0,1,0,0,20160,2,2,0,4,,6,600,Major Crimes Act,115,109,1,5,4
2019-049,6/30/20,1,,140 S. Ct. 2298,2019,1707,19-46,U.S. PATENT AND TRADEMARK OFFICE v. BOOKING.COM B.V.,5/4/20,,394,,122,,1,0,126,,24,,1,12,2,1,1,2,0,0,0,0,80200,8,1,0,4,7,6,600,"Lanham Act, 15 U. S. C. §1051",109,111,1,8,1
2019-062,7/6/20,1,,140 S. Ct. 2316,2019,1707,19-465,CHIAFALO v. WASHINGTON,5/13/20,,251,,28,56,1,0,302,56,300,56,0,5,2,2,1,2,0,0,0,0,20010,2,2,,3,,2,225,NA,114,111,1,9,0
2019-064,2/24/20,2,,140 S. Ct. 696,2019,1707,18-921,ROMAN CATHOLIC ARCHDIOCESE OF SAN JUAN v. FELICIANO,,,130,,230,,1,0,301,46,300,46,1,12,3,3,1,5,0,1,0,0,100020,10,2,,3,,6,600,28 USC 1446 Procedure for Removal Civil Actions,,111,1,9,0
2019-067,6/1/20,1,,140 S. Ct. 1683,2019,1707,18-1432,NASRALLAH v. BARR,3/2/20,,106,,1,,1,0,31,,31,,0,3,9,1,1,3,0,1,0,0,20110,2,2,0,4,,3,344,NA,116,111,1,7,2
2019-068,6/8/20,1,,140 S. Ct. 1721,2019,1707,18-8369,LOMAX v. ORTIZ-MARQUEZ,2/26/20,,215,,19,7,1,0,52,,30,,0,2,2,1,1,2,0,0,0,0,20350,2,1,,4,,6,600,"Prison Litigation Reform Act, 28 U.S.C. 1915",114,111,1,9,0
2019-069,6/15/20,2,,140 S. Ct. 1875,2019,1707,18-9674,ANDRUS v. TEXAS,,,126,,28,51,1,0,302,51,300,51,0,12,9,1,1,5,0,1,0,0,20330,2,2,0,3,,2,214,NA,,111,1,6,3
2019-070,6/25/20,1,,140 S. Ct. 1959,2019,1707,19-161,DEPARTMENT OF HOMELAND SECURITY v. THURAISSIGIAM,3/2/20,,422,,106,,1,0,51,,29,,0,2,4,2,1,4,0,1,0,0,20110,2,1,0,1,,1,121,NA,112,111,1,7,2
2019-072,6/22/20,1,,140 S. Ct. 1936,2019,1707,18-1501,LIU v. SECURITIES AND EXCHANGE COMMISSION,3/3/20,,119,,405,,1,0,48,,29,,0,11,2,2,1,5,0,1,0,0,80120,8,1,1,,,3,365,NA,113,111,1,8,1
2019-073,7/6/20,6,,140 S. Ct. 2316,2019,1707,19-518,COLORADO DEPT. OF STATE v. BACA,5/13/20,,7,7,251,,1,0,52,,30,,0,5,4,1,1,3,0,1,0,,20010,2,2,,2,,2,225,NA,,111,1,8,0
